id,section,requirement,status,priority,evidence_or_gap,code_path
1.01,חיבור וניהול חשבונות,חיבור עסק ומספר,מומש ונבדק,P1,"Meta Embedded Signup בממשק (state/CSRF, החלפת code בשרת, debug_token, subscribed_apps, register) + כרטיס חיבור כן; נבדק בסימולציה (tests/integration/embedded-signup, scripts/qa-embedded-signup.mjs). מול Meta חי – טרם",src/server/services/embedded-signup-service.ts; src/components/settings/whatsapp-connect-card.tsx; docs/WHATSAPP_EMBEDDED_SIGNUP.md
1.02,חיבור וניהול חשבונות,מספרים מרובים לעסק,מומש ונבדק,P1,כמה מספרים פעילים מאותו WABA; שיחות וקמפיינים מקובעים למספר. 4 בדיקות PostgreSQL עם Graph מדומה; אין אימות Meta חי,src/server/services/provider-credential-service.ts; meta-connection-service.ts; src/server/providers/meta-whatsapp-provider.ts; docs/whatsapp-multiple-numbers-2026-09-23.md
1.03,חיבור וניהול חשבונות,שיוך מספר לעסק ולצוות,מומש ונבדק,P1,RLS לעסק ושיוך מספר לצוות; נציג מוגבל לשיוך ולצוות גם בשליחה ישירה. שינוי צוות משחרר שיוך לא מתאים; נבדק במסד,src/lib/organization-context.ts; src/app/api/webhooks/whatsapp/route.ts; docs/whatsapp-multiple-numbers-2026-09-23.md
1.04,חיבור וניהול חשבונות,סטטוס חיבור והרשאות,מומש ונבדק,P0,סטטוס חיבור מוצג רק אחרי checkConnection בפועל (Graph) ולא מהגדרה שמורה; מצבי missing_config/needs_action/revoked; QA דפדפן W11 מוודא שאין 'מחובר' ללא Meta,src/server/services/embedded-signup-service.ts; src/app/api/whatsapp/connection/[id]/route.ts; scripts/qa-whatsapp-completion.mjs
1.05,חיבור וניהול חשבונות,תקינות Webhook ושגיאת חיבור אחרונה,מומש חלקית,P1,"לדג׳ר אירועי סטטוס מהוובהוק (ProviderWebhookEvent, dedupe לפי id:status:timestamp) + שגיאת חיבור אחרונה לכל credential; קבלת אירוע חי מ-Meta טרם אומתה",src/server/providers/meta-whatsapp-provider.ts; src/server/services/embedded-signup-service.ts
1.06,חיבור וניהול חשבונות,פקיעת טוקן וביטול הרשאה,מומש חלקית,P0,cron יומי whatsapp-health מריץ checkConnection לכל חיבור פעיל ומסמן revoked/needs_action; קודי 190/10/200 חוסמים שליחה מיד (unit classifyMetaError). ריצת ה-cron מול טוקן שפג בפועל לא אומתה,src/app/api/jobs/whatsapp-health/route.ts; src/lib/meta/errors.ts; tests/unit/whatsapp-completion.test.ts
1.07,חיבור וניהול חשבונות,ניתוק וחיבור מחדש ושמירת היסטוריה,מומש חלקית,P0,"ניתוק וחיבור מחדש של אותו credential נבדקו במסד ושומרים היסטוריה; קבצים משתמשים ב־credential המקורי, אך זמינותם תלויה ב־Meta ובטוקן",src/server/services/provider-credential-service.ts; meta-connection-service.ts; src/server/providers/meta-whatsapp-provider.ts; docs/whatsapp-multiple-numbers-2026-09-23.md
1.08,חיבור וניהול חשבונות,איכות ומגבלות חשבון אמיתיות,חסום לבדיקה,P1,אין Meta פעיל; אין מסך quality/throughput ואין ערכים מדומים,src/server/services/provider-credential-service.ts; meta-connection-service.ts; src/server/providers/meta-whatsapp-provider.ts
1.09,חיבור וניהול חשבונות,הגבלת שליחה וחסימת מספר,מומש ונבדק,P0,"130429/HTTP 429/5xx → נמען חוזר לתור עם backoff (60ש/5ד/15ד, עד 3 ניסיונות, requestKey חדש לכל ניסיון) והקמפיין מדלג לשאר הריצה; קודי הרשאה חוסמים credential. בדיקת אינטגרציה 6.07/6.09",src/lib/meta/errors.ts; src/jobs/campaign-runner.ts; tests/integration/whatsapp-completion.test.ts
1.10,חיבור וניהול חשבונות,סודות בצד שרת,מומש ונבדק,P0,API מחזיר מסכה; Prisma בצד שרת; אין מפתחות בתגובות realtime,src/server/services/provider-credential-service.ts; meta-connection-service.ts; src/server/providers/meta-whatsapp-provider.ts
1.11,חיבור וניהול חשבונות,אימות חיבור בפועל,חסום לבדיקה,P0,Graph preflight מדומה נבדק; חיבור Meta אמיתי טרם אומת,src/server/services/provider-credential-service.ts; meta-connection-service.ts; src/server/providers/meta-whatsapp-provider.ts
2.01,אנשי קשר והסכמה,יצירה ועריכת אנשי קשר,מומש ונבדק,P1,API ושיוך נציג בבדיקות DB וממשק קודמות,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.02,אנשי קשר והסכמה,נרמול טלפונים בינלאומי,מומש ונבדק,P0,libphonenumber-js; בדיקות נרמול ו־CSV,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.03,אנשי קשר והסכמה,זיהוי כפילויות,מומש ונבדק,P0,unique phone וייבוא dedup; הודעות מקבילות משתמשות ב־upsert,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.04,אנשי קשר והסכמה,מיזוג כפילויות והיסטוריה,מומש ונבדק,P1,"mergeContacts (מנהל+): טלפונים/אימיילים/תגיות/לידים/עסקאות/משימות/הערות/שיחות/שיחות טלפון/טיוטות/הסרות עוברים לראשי, הסכמה מחמירה, audit contact.merged עם snapshot; אינטגרציה + דפדפן W8 + חסימה בין עסקים (404)",src/lib/crm/contacts.ts; src/app/api/contacts/[id]/merge/route.ts; src/app/(app)/contacts/duplicates/page.tsx; tests/integration/whatsapp-completion.test.ts
2.05,אנשי קשר והסכמה,שדות מותאמים תגיות מקור ונציג,מומש ונבדק,P1,עריכת שדות ותגיות ומקור קיימת; נוספו בעלות CRM עצמאית וסטטוס ליד. שינוי בעלים מוגבל למנהל; API וגבולות הרשאות נבדקו במסד מבודד.,tests/qa/crm-ownership.test.ts; tests/qa/organization-isolation.test.ts; docs/whatsapp-crm-ownership-2026-09-24.md
2.06,אנשי קשר והסכמה,ייבוא CSV מיפוי עמודות ותצוגה מקדימה,מומש ונבדק,P1,מיפוי עמודות ותצוגת שגיאות נבדקו בדפדפן; ייבוא API של 10000 שורות למסד QA עבר; שורות שגויות חוסמות שמירה,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.07,אנשי קשר והסכמה,דוח שגיאות ייבוא,מומש חלקית,P1,הורדת CSV של שורות השגיאה מהייבוא נוספה במסך אנשי קשר; לא כוסה בבדיקה אוטומטית,src/app/(app)/contacts/page.tsx
2.08,אנשי קשר והסכמה,ייצוא לפי הרשאות,מומש ונבדק,P1,"ייצוא CSV למנהל/אדמין עם audit, הגנה מנוסחאות ומגבלת 10,000 מפורשת; בדיקות הרשאות ופורמט",src/app/api/contacts/export/route.ts; tests/unit/operational-routes.test.ts; tests/unit/operational-tools.test.ts
2.09,אנשי קשר והסכמה,מקור ותאריך הסכמה,מומש חלקית,P0,נוספו consentAt/source/scope/evidence; רשומות ישנות נשארות ללא אסמכתה,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.10,אנשי קשר והסכמה,היקף ואסמכתה להסכמה,מומש חלקית,P0,שיווקי בלבד ואסמכתה ידנית אופציונלית; לא הוכחת הסכמה חיצונית,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.11,אנשי קשר והסכמה,הסרה וחסימה מרכזית,מומש חלקית,P0,OPTED_OUT לשיווק; isBlocked לכל שליחה; בדיקה חוזרת לפני פנייה לספק,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.12,אנשי קשר והסכמה,בקשות הסרה עברית ואנגלית,מומש ונבדק,P0,מילים מפורשות ופיסוק; אין inference על טקסט חופשי עמום,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.13,אנשי קשר והסכמה,כפתור הסרה,מומש ונבדק,P1,כפתורי תבנית יוצאים (QUICK_REPLY/URL/PHONE/COPY_CODE) ממופים מ-Meta ונשלחים; לחיצת quick-reply נכנסת נקלטת כטקסט הסרה. unit mapRemoteTemplate,src/server/services/template-sync-service.ts; src/server/providers/meta-whatsapp-provider.ts; tests/unit/whatsapp-completion.test.ts
2.14,אנשי קשר והסכמה,סימון הסרה ידני,מומש חלקית,P0,עורך Contact עם אסמכתה וחסימה מלאה,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.15,אנשי קשר והסכמה,ייבוא חוזר אינו מחזיר לדיוור,מומש ונבדק,P0,createMany skipDuplicates אינו משנה איש קשר קיים,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.16,אנשי קשר והסכמה,זכאות מחדש בזמן שליחה,מומש ונבדק,P0,worker + message service לפני ספק; מרוץ לאחר הבדיקה האחרון עדיין אפשרי,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
2.17,אנשי קשר והסכמה,הפרדת שירות משיווק,מומש ונבדק,P0,גם פתיחת שיחה אינה נחסמת בגלל הסרה שיווקית; בדיקת מסד מוכיחה מענה שירות בתוך חלון וחסימת שיווק ומענה מחוץ לחלון,src/server/services/contact-service.ts; message-service.ts; src/lib/contact-csv.ts; src/lib/message-policy.ts
3.01,קהלים וסגמנטים,תגיות ושדות מותאמים בסגמנטים,מומש ונבדק,P1,תנאי תגיות ושדות מותאמים במנוע הקיים; נבדקו מול PostgreSQL מבודד,src/server/services/campaign-service.ts; prisma/schema.prisma; docs/whatsapp-saved-audiences-2026-09-23.md
3.02,קהלים וסגמנטים,מקור ליד וסטטוס CRM,מומש ונבדק,P1,סינון מקור ושלב CRM פנימי עם AND/OR; בדיקת DB אישרה ספירה ושמירת NULL בהחרגות. אין סנכרון סטטוס ממערכת CRM חיצונית.,tests/qa/crm-ownership.test.ts; tests/qa/organization-isolation.test.ts; docs/whatsapp-crm-ownership-2026-09-24.md
3.03,קהלים וסגמנטים,סינון קהל לפי נציג,מומש ונבדק,P1,סינון לפי בעל CRM עצמאי או נציג שיחה; הבעלות אינה משנה שיוך שיחה. ספירה והחרגות נבדקו במסד מבודד.,tests/qa/crm-ownership.test.ts; tests/qa/organization-isolation.test.ts; docs/whatsapp-crm-ownership-2026-09-24.md
3.04,קהלים וסגמנטים,רכישות מוצר ותאריך,חסום לבדיקה,P1,אין אינטגרציית רכישות או הזמנות; נדרש מקור CRM,src/server/services/campaign-service.ts; prisma/schema.prisma
3.05,קהלים וסגמנטים,הודעה ותגובה אחרונה,מומש ונבדק,P1,תנאים לפי ההודעה האחרונה בכל השיחות: נכנסת/יוצאת/כל הודעה; לפני אחרי וללא הודעה נבדקו במסד,src/server/services/campaign-service.ts; prisma/schema.prisma; docs/whatsapp-saved-audiences-2026-09-23.md
3.06,קהלים וסגמנטים,השתתפות ותוצאת קמפיין קודם,מומש ונבדק,P1,תנאי קהל לפי קמפיין קודם עם תוצאה DELIVERED/READ/REPLIED/NOT_DELIVERED (סטטוס ספק). unit audienceWhere,src/server/services/audience-service.ts; src/lib/audiences.ts; tests/unit/whatsapp-completion.test.ts
3.07,קהלים וסגמנטים,הסכמה והסרה וזכאות,מומש ונבדק,P0,תנאי הסכמה חסימה וזכאות מקומית; בדיקה נוספת בכל שליחה,src/server/services/campaign-service.ts; prisma/schema.prisma; docs/whatsapp-saved-audiences-2026-09-23.md
3.08,קהלים וסגמנטים,תנאי AND/OR,מומש ונבדק,P1,AND/OR מקוננים עד 3 רמות ו־50 צמתים; אימות קלט ובדיקות מסד,src/server/services/campaign-service.ts; prisma/schema.prisma; docs/whatsapp-saved-audiences-2026-09-23.md
3.09,קהלים וסגמנטים,החרגת קהלים,מומש ונבדק,P1,עד 20 רשימות או סגמנטים מוחרגים; התאמת ספירה לטיוטה נבדקה גם עבור ערכי NULL,src/server/services/campaign-service.ts; prisma/schema.prisma; docs/whatsapp-saved-audiences-2026-09-23.md
3.10,קהלים וסגמנטים,שמירת סגמנטים,מומש ונבדק,P1,תנאים נשמרים ב־DistributionList הקיים ומחושבים ביצירת טיוטה,src/server/services/campaign-service.ts; prisma/schema.prisma; docs/whatsapp-saved-audiences-2026-09-23.md
3.11,קהלים וסגמנטים,ספירת נמענים לפני שליחה,מומש ונבדק,P0,ספירות מסד אמיתיות להתאמות החרגות וזכאות; 5 דוגמאות; נתונים ישנים מוסתרים בשינוי תנאי,src/server/services/campaign-service.ts; prisma/schema.prisma; docs/whatsapp-saved-audiences-2026-09-23.md
3.12,קהלים וסגמנטים,מדיניות קהל מתוזמן,מומש ונבדק,P0,קהל ותנאי החרגה מוקפאים ביצירת טיוטה; שינוי סגמנט אינו משנה נמענים; הסרה לאחר מכן נבדקת בשליחה,src/server/services/campaign-service.ts; prisma/schema.prisma; docs/whatsapp-saved-audiences-2026-09-23.md
4.01,תבניות,סנכרון מהספק,מומש ונבדק,P0,"Graph מדומה: pagination, סטטוס ו־WABA; בדיקה חיה חסומה",src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.02,תבניות,יצירה והגשה לאישור,מומש ונבדק,P0,תבניות טקסט Marketing/Utility; Graph מדומה; לא נשלחה תבנית אמיתית,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.03,תבניות,שפה קטגוריה וסטטוס,מומש ונבדק,P1,מסד וממשק; default חדש DRAFT,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.04,תבניות,דחייה השהיה והשבתה,מומש ונבדק,P0,"PAUSED/DISABLED הם סטטוסים נפרדים (enum + תוויות); תבנית כזו חוסמת יצירה/התחלה, וה-worker משהה קמפיין רץ עם סיבה. unit + אינטגרציה 4.04",src/server/services/template-sync-service.ts; src/server/services/campaign-service.ts; src/jobs/campaign-runner.ts; tests/unit/whatsapp-completion.test.ts; tests/integration/whatsapp-completion.test.ts
4.05,תבניות,טקסט ומשתנים,מומש ונבדק,P0,משתני גוף מספריים רציפים; סדר ומספר מאומתים,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.06,תבניות,מדיה וכפתורי תבנית,מומש ונבדק,P1,כותרת IMAGE/VIDEO/DOCUMENT (קישור https) וכפתורים quick_reply/url דינמי/phone/copy_code ממופים ונבנים ל-components של Meta; מבנים לא נתמכים (LOCATION/FLOW/משתנים בשם) נשארים DRAFT עם סיבה. unit + אינטגרציה; שליחה מול Meta חי טרם,src/server/services/template-sync-service.ts; src/server/providers/meta-whatsapp-provider.ts; tests/unit/whatsapp-completion.test.ts; tests/integration/whatsapp-completion.test.ts
4.07,תבניות,תצוגה מקדימה ודוגמאות,מומש ונבדק,P1,תצוגה מקדימה מציגה כותרת מדיה וכפתורים + דוגמאות; דפדפן W2,src/components/templates/template-preview-dialog.tsx; scripts/qa-whatsapp-completion.mjs
4.08,תבניות,סוגי משתנים,מומש חלקית,P1,טקסט + פרמטר מדיה לכותרת + סיומת URL לכפתור; אין currency/date parameters,src/server/providers/meta-whatsapp-provider.ts
4.09,תבניות,ערכי ברירת מחדל,מומש ונבדק,P1,"{name}, {{first_name|ברירת מחדל}}, {{custom.שדה|ברירת מחדל}}; משתנה ללא ערך וללא ברירת מחדל מחריג נמען עם סיבה 'משתנים חסרים'. unit + אינטגרציה 4.09",src/lib/campaigns.ts; src/server/services/campaign-service.ts; tests/unit/whatsapp-completion.test.ts; tests/integration/whatsapp-completion.test.ts
4.10,תבניות,משתנים לא פתורים,מומש ונבדק,P0,חסימת placeholders לא פתורים בשירות השליחה,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.11,תבניות,שינוי תבנית לאחר תזמון,מומש חלקית,P0,לפני start/resume מסונכרנות תבניות מ-Meta (best effort) ורק אז preflight; fingerprint כולל כותרת/כפתורים. ללא Meta חי לא ניתן לאמת סנכרון בפועל,src/server/services/campaign-service.ts; src/server/services/campaign-snapshot.ts
4.12,תבניות,בחירת תבנית או הודעה חופשית,מומש ונבדק,P0,24 שעות ומקור inbound מאומת ל־Meta; אין שימוש בהיסטוריית דמו לפתיחת חלון,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
4.13,תבניות,אין אישור מקומי מזויף,מומש ונבדק,P0,אישור רק מתשובת ספק; ברירת מחדל DRAFT; seed מסומן דמו,src/server/services/template-sync-service.ts; template-submit-service.ts; src/lib/campaigns.ts
5.01,בניית קמפיינים,בחירת מספר שולח,מומש ונבדק,P0,בורר מספר בממשק; שמירת credential בקמפיין ו־snapshot נפרד; שינוי ברירת מחדל לא משנה קמפיין קיים. בדיקת DB עם Graph מדומה,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts; docs/whatsapp-multiple-numbers-2026-09-23.md
5.02,בניית קמפיינים,בחירת קהל והחרגות,מומש ונבדק,P1,רשימות סטטיות וסגמנטים שמורים עם החרגות; בדיקות מסד לתצוגה מקדימה ויצירת טיוטה,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts; docs/whatsapp-saved-audiences-2026-09-23.md
5.03,בניית קמפיינים,בחירת תבנית ושפה,מומש ונבדק,P0,מאושרות בלבד ו־WABA פעיל; שפה מוצגת,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.04,בניית קמפיינים,מיפוי משתנים,מומש ונבדק,P1,מיפוי לשדות CRM ושדות מותאמים עם ברירת מחדל (ראו 4.09),src/lib/campaigns.ts; tests/unit/whatsapp-completion.test.ts
5.05,בניית קמפיינים,צירוף מדיה בקמפיין,מומש ונבדק,P1,mediaUrl (https) בקמפיין לתבנית עם כותרת מדיה + buttonParams לכפתורי URL דינמיים; חסרים → שגיאה ביצירה ובלוקר ב-preflight. אינטגרציה 4.06/5.05 + דפדפן W4,src/server/services/campaign-service.ts; src/components/campaigns/campaign-dashboard.tsx; tests/integration/whatsapp-completion.test.ts; scripts/qa-whatsapp-completion.mjs
5.06,בניית קמפיינים,תצוגה לכמה נמענים,מומש חלקית,P1,נוספה preflight לשלושה נמענים זכאים,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.07,בניית קמפיינים,שליחת בדיקה למספר מאושר,מומש ונבדק,P0,"שליחת בדיקה ל-WhatsApp רק למספרים ב-allowlist של החיבור (testRecipients, נשמר במסך החיבור); אחר → 403 test_recipient_not_allowed; audit campaign.test_sent. אינטגרציה 5.07",src/server/services/campaign-service.ts; src/server/services/embedded-signup-service.ts; src/components/settings/whatsapp-connect-card.tsx; tests/integration/whatsapp-completion.test.ts
5.08,בניית קמפיינים,סיכום לפני הפעלה,מומש חלקית,P0,מסך סיכום וולידציה מחדש בשרת; counts/sender/time/samples,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.09,בניית קמפיינים,שליחה מיידית ותזמון,מומש ונבדק,P0,תור DB ו־cron; DB QA משתמש בספק מדומה,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.10,בניית קמפיינים,מספר זכאים והחרגות וסיבות,מומש חלקית,P0,preflight משקף queued ברגע הבדיקה; עשוי להשתנות לפני dispatch,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.11,בניית קמפיינים,נתונים ומשתנים חסרים,מומש ונבדק,P0,preflight מדווח 'משתנים חסרים' לכל נמען שאין לו ערך/ברירת מחדל; אינטגרציה 4.09,src/server/services/campaign-service.ts; tests/integration/whatsapp-completion.test.ts
5.12,בניית קמפיינים,שולח זמן ואזור זמן בסיכום,מומש ונבדק,P1,אזור זמן עסקי (settings.timezone) בסיכום ובתזמון; שולח = החיבור/המספר שנבחר,src/server/services/campaign-service.ts; src/lib/settings.ts
5.13,בניית קמפיינים,הערכת עלות אמינה,מומש חלקית,P1,אומדן עלות ל-WhatsApp לפי מחיר ידני לשיחה שיווקית שהוגדר בחיבור (בסיס מוצג במפורש); ללא מחיר – 'לא ידוע'. תמחור Meta אמיתי לפי קטגוריה/מדינה אינו מאומת,src/server/services/campaign-service.ts; src/components/settings/whatsapp-connect-card.tsx
5.14,בניית קמפיינים,טיוטות,מומש ונבדק,P1,Campaign DRAFT נשמר במסד,src/components/campaigns/campaign-dashboard.tsx; src/server/services/campaign-service.ts
5.15,בניית קמפיינים,שכפול קמפיין,מומש ונבדק,P2,שכפול לטיוטה בלבד עם snapshot חדש של הרשימה/תבנית/שולח; אין ירושת תזמון או הודעות,src/app/api/campaigns/[id]/duplicate/route.ts; tests/unit/operational-routes.test.ts
5.16,בניית קמפיינים,חיפוש והיסטוריה,מומש ונבדק,P1,חיפוש בצד שרת (?q=) בשם קמפיין/רשימה/תבנית; דפדפן W3 (כולל שאילתה ללא תוצאות),src/server/services/campaign-service.ts; src/app/api/campaigns/route.ts; scripts/qa-whatsapp-completion.mjs
6.01,תזמון ומנוע שליחה,תור עמיד ללא לשונית,מומש ונבדק,P0,CampaignRecipient ו־cron; אינו מבוסס browser timer,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.02,תזמון ומנוע שליחה,אזור זמן ושעות מותרות,מומש חלקית,P1,"חלון שעות + אזור זמן עסקי חלים על כל קמפיין שיווקי בכל ערוץ כולל WhatsApp (worker); נבדק ל-SMS/אימייל (tests/integration/multichannel), ל-WhatsApp בקוד בלבד",src/jobs/campaign-runner.ts; src/lib/settings.ts
6.03,תזמון ומנוע שליחה,הגבלת קצב לפי חשבון וספק,מומש חלקית,P0,תקציב לדקה (settings.marketing.maxPerMinute) לכל הערוצים; rate limit מהספק מדחה את הקמפיין לריצה הבאה. אין limiter מבוזר לפי מכסת ספק,src/jobs/campaign-runner.ts; tests/integration/whatsapp-completion.test.ts
6.04,תזמון ומנוע שליחה,חלוקה למנות,מומש ונבדק,P0,"take 20; 10,000 נמענים מדומים ב־500 מחזורים",src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.05,תזמון ומנוע שליחה,השהיה המשך וביטול,מומש ונבדק,P0,CAS בשרת ובדיקת מצב לאחר claim,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.06,תזמון ומנוע שליחה,הודעות שהועברו לספק אינן ניתנות לביטול,מומש חלקית,P0,הודעה במעוף יכולה להסתיים אחרי pause; UI מסביר; queued מסומן SKIPPED,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.07,תזמון ומנוע שליחה,retries עם backoff,מומש ונבדק,P1,"retry אוטומטי עם backoff לכשל retryable בלבד (rate limit/5xx), requestKey חדש לכל ניסיון, UNKNOWN לעולם לא. אינטגרציה 6.07",src/jobs/campaign-runner.ts; src/lib/meta/errors.ts; tests/integration/whatsapp-completion.test.ts
6.08,תזמון ומנוע שליחה,מספר ניסיונות מוגבל,מומש ונבדק,P0,"MAX_AUTO_ATTEMPTS=3 אוטומטי, עד 10 כולל ידני; attempts/nextAttemptAt לכל נמען",src/lib/meta/errors.ts; src/jobs/campaign-runner.ts; tests/integration/whatsapp-completion.test.ts
6.09,תזמון ומנוע שליחה,rate limits ותקלות ספק,מומש ונבדק,P0,סיווג קודי Meta: retryable / חוסם credential / קבוע; 130429 עוצר את הקמפיין לשאר הריצה. unit + אינטגרציה,src/lib/meta/errors.ts; tests/unit/whatsapp-completion.test.ts; tests/integration/whatsapp-completion.test.ts
6.10,תזמון ומנוע שליחה,לחיצה כפולה והפעלה מחדש,מומש ונבדק,P0,CAS קמפיין ו־recipient; requestKey להודעות UI; unique DB,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.11,תזמון ומנוע שליחה,התאוששות מקריסת worker,מומש חלקית,P0,PROCESSING ישן עובר UNKNOWN; אין blind retry; בדיקת מצב אחרי קריסה אמיתית חסרה,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.12,תזמון ומנוע שליחה,בידוד עומסים עסקים ומספרים,מומש חלקית,P1,"סריקה הוגנת בין עסקים, תפקיד RLS וכשל מבודד לכל עסק; בידוד ותזמון בין מספרים באותו עסק עדיין חסרים",src/jobs/organization-runner.ts; tests/unit/organization-worker.test.ts
6.13,תזמון ומנוע שליחה,תדירות שיווק בין קמפיינים ואוטומציות,מומש ונבדק,P0,"CAS על Contact.lastMarketingAt; מדיניות מקומית שמרנית אחת ל־24 שעות, גם כשכשל לא ודאי",src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
6.14,תזמון ומנוע שליחה,timeout אינו exactly-once,מומש ונבדק,P0,UNKNOWN נשמר; requestKey לא נשלח שוב; אין התחייבות exactly-once אצל Meta,src/jobs/campaign-runner.ts; src/server/services/message-service.ts; send-guard.ts
7.01,סטטוסים ותיעוד,ממתינה ובטיפול,מומש חלקית,P1,Message QUEUED ו־recipient PROCESSING; אין PROCESSING אחיד להודעה,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.02,סטטוסים ותיעוד,התקבלה אצל ספק ונשלחה,מומש חלקית,P0,ACCEPTED חדש לתשובת HTTP; SENT מ־webhook; היסטוריה ישנה אינה ניתנת לסיווג מחדש,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.03,סטטוסים ותיעוד,נמסרה ונקראה,מומש ונבדק,P0,אירועי provider בלבד בחיבור אמיתי; סימולציה מפורשת בדמו,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.04,סטטוסים ותיעוד,נכשלה ובוטלה,מומש חלקית,P1,FAILED כולל reason; ביטול קמפיין SKIPPED ולא סטטוס Message CANCELLED,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.05,סטטוסים ותיעוד,תוצאה לא ודאית,מומש ונבדק,P0,UNKNOWN להודעה ולנמען; אין retry אוטומטי,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.06,סטטוסים ותיעוד,מזהה ספק קמפיין נמען ושולח,מומש חלקית,P0,קשרים קיימים ונוסף providerCredentialId; sender snapshot בקמפיין,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.07,סטטוסים ותיעוד,זמני אירועים וסיבות כשל,מומש ונבדק,P1,לדג׳ר סטטוסים מהוובהוק (ProviderWebhookEvent) + errorReason/errorCode על FAILED + אירוע message.delivery_failed; סטטוסים מאוחרים לא מרגרסים. אינטגרציה 7.07 (סימולציה),src/server/providers/meta-whatsapp-provider.ts; src/server/services/message-status-service.ts; tests/integration/whatsapp-completion.test.ts
7.08,סטטוסים ותיעוד,webhook כפול ולא מסודר,מומש ונבדק,P0,inboundKey unique וסטטוס מונוטוני; callback לפני שמירת provider ID עדיין פער,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.09,סטטוסים ותיעוד,היעדר read אינו הוכחה,מומש ונבדק,P1,אין הסקת אי־קריאה; READ רק באירוע,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
7.10,סטטוסים ותיעוד,פירוט לכל נמען,מומש ונבדק,P1,API ודף campaign recipients בעימוד,src/server/services/message-status-service.ts; message-service.ts; prisma/schema.prisma
